API명,필드수
[특허] 해외특허 공보-서지,0
[특허] 특허/실용신안 공보-도면/전문,0
[디자인] 디자인 통합이력,0
[특허] 해외특허 공보-항목별 검색,0
[특허] 한국특허영문초록-항목별 검색,0
[특허] 인용문헌,0
[상표] 상표 통합이력,0
[특허] 특허/실용신안 공보-서지,0
[특허] 해외특허 공보-도면/전문,0
대전광역시 행사정보,0
[공통] 산업재산권 등록사항,0
[특허] 특허/실용신안 공보-항목별 검색,0
[심판] 심판사항-전문,0
[공통] 산업재산권 공통 서비스(인명 검색 등),0
[심판] 심판사항-서지,0
[특허] 한국특허영문초록-도면,0
[특허] 한국특허영문초록-서지,0
사고 및 고장 승강기 이력 정보 서비스,3
저작권등록정보서비스,25
관광지정보조회서비스,41
남원시 관광지 정보 조회 서비스,62
남원시 문화재 정보 조회 서비스,35
위치기반정보조회서비스,30
전국 명절 비상 진료기관 정보 조회 서비스,36
예술지식 카테고리 정보 서비스,3
전국어린이놀이시설통계정보서비스,0
축산물DNA동일성검사 업소정보,0
쇠고기이력정보서비스,21
축산물통합이력정보제공,72
공공취업정보 조회 서비스,99
산악안전정보 공유서비스,354
[특허] 해외특허 공보-유틸리티,0
[공통] 산업재산권 권리권자 변동사항,0
[특허] 기계번역용 국문초록,0
[특허] 한국특허영문초록-일반 검색,0
[특허] 해외특허 공보-일반 검색,0
중기예보정보조회서비스,137
일문 관광정보 서비스,0
서어 관광정보 서비스,0
중문 번체 관광정보 서비스,0
중문 간체 관광정보 서비스,0
노어 관광정보 서비스,0
독어 관광정보 서비스,0
국문 관광정보 서비스,0
불어 관광정보 서비스,0
영문 관광정보 서비스,0
공유(만료)저작물 서비스,0
환경영향평가 초안 공람정보 서비스,0
열차정보서비스,19
고속버스도착정보 서비스,16
고속버스정보 서비스,22
예술지식 음악정보 서비스,14
전국어린이놀이시설안전검사통계정보서비스,0
여행금지제도,41
숙박정보조회서비스,22
남원시 숙박지 정보 조회 서비스,66
오픈소스SW 라이선스정보 서비스,42
지표정보조회서비스,48
지표고유번호별설명자료조회,12
목록별지표조회서비스,14
지표명별설명자료조회,12
전국어린이놀이시설안전사고통계정보서비스,0
시정정보 조회서비스,26
전국우수어린이놀이시설통계정보서비스,1
버스위치정보조회서비스,19
관심서비스관리,3
부산 도시철도 열차시각표 조회 서비스,12
상세정보조회서비스,0
상세정보조회서비스(SOAP),0
전국 응급의료정보조회 서비스,151
관광지정보조회서비스,81
예술지식 무용정보 서비스,14
환경표지구매실적조회 서비스,78
사전/전략/소규모협의현황정보 서비스,0
전국 약국 정보 조회 서비스,43
축산물검수정보서비스,35
공공기관연계자료 서비스,0
환경표지인증정보조회 서비스,46
대기오염정보 조회 서비스,0
대기오염통계 서비스,0
음식점 정보조회서비스,88
오픈소스SW프로젝트정보 서비스,22
숙박정보조회서비스,69
예술지식 연극정보 서비스,14
전국어린이놀이시설코드정보서비스,0
시외버스정보 서비스,31
나라장터 낙찰정보서비스,415
문학속 한국 방언,26
학술지정보조회 서비스,10
남북한 언어사전 서비스,47
말뭉치보기 서비스,22
정겨운 우리말 서비스,20
전국어린이놀이시설기구정보서비스,0
전국어린이놀이시설안전사고정보서비스,0
전국어린이놀이시설행정처분통계정보서비스,0
조달청 물품관리정보서비스,17
조달청 물품목록정보서비스,238
공통코드조회,0
전국 자동심장 충격기 정보 조회 서비스(AED),24
전국어린이놀이시설보험가입정보서비스,0
사건사고 현황,37
남원시 음식점 정보 조회 서비스,63
음식점 정보조회서비스,39
전국어린이놀이시설안전교육정보서비스,0
우수재활용정보조회 서비스,46
게시판정보조회서비스,16
측정소정보 조회 서비스,0
오존황사 발생정보조회 서비스,0
국토지리정보원 지도서비스,19
