파일명,필드수
(201410)+주택연금+지급유형별+잔액현황,6
(201410)+주택연금+지역별+공급현황,20
(201410)+주택연금+지역별+잔액현황,20
(201410)+지역별+PIR+및+LIR,20
(201410)+지역별+주택구입물량지수,19
(201410)+지역별+주택구입부담지수,19
(201411)+MBS+발행금리현황,11
(20141106)+MBS+연도별+만기별+발행현황,11
(201412)한국주택금융공사+보유도서목록(최신화),7
(2015)+보금자리론+내집마련+디딤돌+대출+만족도,11
(2015)일반주택담보대출+상품+만족도,11
(2015)일반주택담보대출금액,11
(2015)주택금융상품+이용률,4
(2015년)공항별+출입항+항공기+및+승무원,7
(2015년)국적+및+체류자격별+유학생+통계+자료,14
(2015년)국적별+출입항+항공기+및+승무원,7
(2015년)단기체류외국인의+국적+및+연령별_현황,16
(2015년)연령별+지역별+등록외국인현황,21
"(2015년)외국인+출국자(국적,체류기간별)",20
(2015년)위반자처리현황,21
(2015년)체류자격별+지역별+등록외국인현황,34
(2015년1월-2016년7월)등록특허,7
(2016.09.30.기준)+충청남도+소방용수시설+현황,18
(2016.1.26자)74차+OECD국가등급+결과,4
(2016년+3분기)+국유재산+개보수공사+명세,7
(37)2013년+한국철도공사+거리별+화물수송실적,5
(공공데이터)15년여성새로일하기센터현황,9
(공공데이터)LED산업현황,9
(기술평가)+업종별+현황(2012년~2014년),14
(기술평가)+업종별+현황(2013년),14
(기술평가)+지역별+현황(2013년),11
(기술평가)+지역별현황(2015년),10
(보증신청)+업종별+현황(2013년),27
(보증신청)+업종별+현황(2013년~2014년),14
(보증신청)+업종별+현황,25
(보증신청)+자금용도별+현황(2013년),27
(보증신청)+자금용도별+현황(2013년~2014년),14
(보증신청)+자금용도별+현황(2015년),25
(보증신청)+지역별+현황(2013년),27
(보증신청)+지역별+현황(2015년),25
(부정무역사범+단속실적_1405월+기준),5
(산업안전실)+-+안전위탁기관+명단+-+csv양식,8
(수원시시설관리공단)골프 프로그램,6
(수원시시설관리공단)문화강좌 프로그램,6
(수원시시설관리공단)스포츠 프로그램,6
"(영구,국민,순환)임대아파트+임대보증금,+임대료,+차기+재계약+일자(2015.12.31+기준)",3
(인천공항)여객기+하계+표준운항+도착+스케줄+(국문),7
(인천공항)여객기+하계+표준운항+도착+스케줄+(영문),7
(인천공항)여객기+하계+표준운항+도착+스케줄+(일문),7
(인천공항)여객기+하계+표준운항+출발+스케줄+(국문),7
(인천공항)화물기+하계+표준운항+도착+스케줄+(국문),7
(인천공항)화물기+하계+표준운항+도착+스케줄+(영문),7
(인천공항)화물기+하계+표준운항+도착+스케줄+(일문),7
(인천공항)화물기+하계+표준운항+출발+스케줄+(영문),7
(인천공항)화물기+하계+표준운항+출발+스케줄+(일문),7
(인천공항)화물기+하계+표준운항+출발+스케줄+(중문),7
(전남총괄)전통시장+데이터셋_표준양식,18
(정보공개)_주요_교역국_민원상담센터('14.6.30+현재),10
(정보공개)_주요_교역국_민원상담센터('15.12.15),10
(정보공개)_주요_교역국_민원상담센터('15.6.15+현재),10
(주택도시보증공사)공공데이터+개방항목_(2012-2015)지역별+정비사업대출보증+발급현황,4
"(주택도시보증공사)공공데이터+개방항목_월별+집합건물(아파트,상가)+사업장+공정율+현황",12
(중소기업진흥공단)+업종별+해외시장진출+유망상품+현황,5
(중소기업진흥공단+중소기업+계약학과+참여기업현황(2016년)),5
(질병군) 외과 전문의 가산대상 항목 및 금액_2017.1.1.기준,8
(추가)강도+및+절도+수법,3
(추가)발생시간.요일,11
(추가)범죄의공범수와+범행도구,10
(추가)범죄자+공범관계,5
(추가)범죄자+교육정도,11
(추가)범죄자+국적,4
(추가)범죄자+마약류+등+상용여부,7
(추가)범죄자+범행동기,13
"(추가)범죄자+생활정도,+혼인관계+및+부모관계",7
(추가)범죄자+자백여부,4
(추가)범죄자+전과여부+및+재범여부,5
(추가)범죄자+정신상태,4
(추가)범죄자+직업,9
(추가)범죄자범행시+연령+및+성별,4
(추가)범행후+은신처,13
(추가)장물처분방법+및+금전소비용도,8
(추가)피해결과,11
(충청남도)+2015년+화재통계_수정,12
(충청남도)특사경+단속대상업소수(20161024),8
(한국가스기술공사)2016년도 상반기 굴착공사 관리 현황(CSV 버전 요약본),10
(한국가스기술공사)2016년도+교육과정+목록,5
(한국가스기술공사)천연가스+설비+유지보수+교육용+실습장비+목록(2016.12.1.+기준),5
(한국양성평등교육진흥원)+양성평등디자인공모전+수상작+목록(2014년)_일반부(수정),4
"(한국양성평등교육진흥원)+양성평등디자인공모전+수상작+목록(2016년)_일반,고등부",5
(한국양성평등교육진흥원)+지역별+전문강사+현황_CSV,10
002-02+행정구역,7
002-03+토지+지목별+현황,6
002-04+일기일수,12
002-05+기상개황,11
002-06+강수량,14
003-07+교육정도별+인구(6세이상+인구),11
003-10-1+인구동태(읍면동별),5
003-11+인구이동,6
003-11-1+읍면동별+인구이동,3
003-13+상주(야간)주간+인구,6
003-13+통근통학+유형별인구,5
003-14+외국인+국적별+등록현황,12
003-15+외국인+국적별+혼인,11
003-16+외국인과의+혼인,5
01-2.보육시설현황(2015.4),8
01.노선관리현황_노선별관리현황,6
01_산업단지+일반현황(2016년+07월),5
01_산업단지+일반현황(2016년+5월),5
01_산업단지+일반현황(2016년08월),5
01_산업단지+일반현황(2016년9월),5
01_서울지역본부,4
01_한국도로공사_개방식+영업소별+총주행거리_2014년(20151101집계기준),7
02-2.차량등록현황(2015.2월),5
02.노선관리현황_지사별관리현황,5
023.제설함+비치현황,7
02_도시개발사업현황('16년+10월),12
02_한국도로공사_노선별+요일변동계수_2010년~2014년(20151101집계기준),10
03.노선관리현황_입체교차로,6
033-CCTV(경로당)설치현황(주민복지과-2015.06.30),5
"033-CCTV(생활안전,+어린이보호)설치현황(정보통신과-2015.06.30)",5
033-CCTV(주정차+단속)설치현황(교통과-2015.06.30),4
03_인천지역본부,4
03_한국도로공사_노선별+월변동계수_2010년~2014년(20151101집계기준),15
04.+2013.+(직업건강실)+-+고용노동부고시_제2013-38호(노출기준),9
04_한국도로공사_교통량조사지점+현황_2015년(20151101집계기준),10
05.+강원도+홍천군_사회적기업_20150918,12
05.재난위험지도_1종시설물-터널,6
06-1.이용업현황(2014),4
06.+안전보건경영시스템(KOSHA+18001)+인증+현황(2016년5월+기준),6
06.재난위험지도_비상연결로,7
064-깨친맛음식점+현황(2015.07.10),6
06_강원지역본부,4
06_한국도로공사_상시+시간대별+구간+교통량(20151101집계기준),29
07_충북지역본부,4
07_한국도로공사_수시+시간대별+구간+교통량(20151101집계기준),17
08-1.숙박업현황(2014),3
08-2.숙박업현황(2015.4월),4
08.JDC+면세점+상품군+품종별+선호내역(16.4),12
"08.JDC면세점+기간별+비교+매출내역(2013년-2015년,+16.4)",11
081.한류스타세계지도,8
08_한국도로공사_교통량조사+차종구분(20151101집계기준),5
09.+작업환경측정기관_지정현황(2015년10월),4
09_한국도로공사_월별+차종별+구간+교통량(20151101집계기준),17
1+(201503)적격대출+판매실적,4
1+진도+고군농공단지+입주업체+현황,9
1-1-1-1.+성연령별_제주도민_지번단위_유동인구_비율포함_전체,27
1-1.재직기간별·직종별+사무직원+퇴직+현황_2015,6
1-2.+재직기간별·학교급별+교직원+퇴직+현황_2015,19
1-4.재직기간별·학교급별+교원+퇴직+현황_2015,6
1-6.연령별·재직기간별+신규가입+교직원+현황_2015,49
1.+교정시설+1일+평균인원,5
1.+구별세대+및+인구현황,11
1.+수용자서신수발신현황,7
1.2014_경협기금_여유자금_자산별비중_및_수익률_암호화해제_암호화해제,5
1.c상근예비역 부대별 입영현황(2015년),9
1.교정시설별+수용+현황,3
1.교정시설접견유형별현황,11
"1.시,+군.구+공공와이파이+구축현황(2014.+4월+현재)",6
10+(201503)보금자리론+판매실적,5
10+보금자리론+판매실적,6
10.+JDC+면세점+전체+브랜드+현황(2015.11),3
10.+소년수형자죄명별인원,9
10.+전통시장+공공와이파이+구축현황(2014.+4월+현재),6
10.+특수건강진단기관+지정현황(2015년12월),4
10.JDC+면세점+브랜드별+AS+연락처+및+주소(16.4),4
10.경비처우급별수용인원,7
10_광주전남지역본부,4
10_한국도로공사_평일+주말별+구간+교통량(20151101집계기준),11
