필드명	행정표준용어	매칭결과
"휴무일정보
"	TOPIS	#N/A
"건물면적
"	TV	#N/A
"의사수
"	UCC	#N/A
"간호사수
"	UCI	#N/A
"사회복지사수
"	UCR	#N/A
"영양사수
"	UN	#N/A
"기타인력현황
"	UNCTAD	#N/A
"기타이용안내
"	UNDP	#N/A
"운영기관전화번호
"	UNESCO	#N/A
"운영기관명
"	URL	#N/A
"관리기관전화번호
"	USA	#N/A
"관리기관명
"	V표시용기	#N/A
"데이터기준일자
"	WAN	#N/A
"시설명
"	WATT	#N/A
"박물관미술관구분
"	WBS	#N/A
"소재지도로명주소
"	WHO	#N/A
"소재지지번주소
"	WTO	#N/A
"위도
"	WWW	#N/A
"경도
"	W표시용기	#N/A
"운영기관전화번호
"	XML	#N/A
"운영기관명
"	X축	#N/A
"운영홈페이지
"	Y축	#N/A
"편의시설정보
"	가	#N/A
"평일관람시작시각
"	가감	#N/A
"평일관람종료시각
"	가개통	#N/A
"공휴일관람시작시각
"	가격	#N/A
"공휴일관람종료시각
"	가격변동	#N/A
"휴관정보
"	가격시점	#N/A
"어른관람료
"	가격표시제	#N/A
"청소년관람료
"	가계	#N/A
"어린이관람료
"	가계수표	#N/A
"관람료기타정보
"	가공	#N/A
"박물관미술관소개
"	가공무역	#N/A
"교통안내정보
"	가공물	#N/A
"관리기관전화번호
"	가공식품	#N/A
"관리기관명
"	가공업	#N/A
"데이터기준일자
"	가공제품	#N/A
"사업소명
"	가공품	#N/A
"사업소전화번호
"	가교	#N/A
"소재지도로명주소
"	가구	#N/A
"소재지지번주소
"	가구	#N/A
"위도
"	가구주	#N/A
"경도
"	가금	#N/A
"트랙터및작업기보유대수
"	가납	#N/A
"경운기및작업기보유대수
"	가능	#N/A
"관리기및작업기보유대수
"	가능성	#N/A
"땅속작물수확기보유대수
"	가동	#N/A
"탈곡기및정선작업기보유대수
"	가동시간	#N/A
"자주형파종기보유대수
"	가두판매	#N/A
"이앙작업기보유대수
"	가득율	#N/A
"벼수확및운반작업기보유대수
"	가등기	#N/A
"기타임대농기계보유정보
"	가로	#N/A
"관리기관전화번호
"	가로수	#N/A
"관리기관명
"	가료	#N/A
"데이터기준일자
"	가루	#N/A
"마을기업명
"	가망	#N/A
"마을기업구분
"	가망성	#N/A
"법인명
"	가맹	#N/A
"법인형태구분
"	가맹계약서	#N/A
"소재지도로명주소
"	가맹금	#N/A
"소재지지번주소
"	가맹본부	#N/A
"위도
"	가맹사업	#N/A
"경도
"	가맹점	#N/A
"마을기업설립년월
"	가맹점사업자	#N/A
"마을기업인증년월
"	가맹점운영권	#N/A
