필드명	행정표준용어	매칭결과
	국가중요시설	
	국가지리정보체계	
	국가측정표준	
	국가표준	
	국가필수국제선박	
	국경	
	국경인도가격	
	국경출입차량	
	국경하천운항선박	
	국고	
	국고귀속	
	국고금	
	국고보조금	
	국고채	
	국공유재산	
	국공채	
	국기	
	국내	
	국내도매가격	
	국내도산절차	
	국내반입이식	
	국내보안정보	
	국내사업장	
	국내외	
	국내이송	
	국내판매가격	
	국도	
	국립	
	국립공원	
	국립수산물품질검사원	
	국립전파연구원	
	국무위원	
	국무조정실	
	국무총리	
	국무총리비서실	
	국문	
	국민	
	국민건강증진사업	
	국민경제자문회의	
	국민고충처리위원회	
	국민기초생활보장제도	
	국민연금	
	국민연금관리공단	
	국민연금제	
	국민임대주택	
	국민임대주택단지	
	국민주택채권	
	국민투표	
	국민훈장	
	국방	
	국방군사시설	
	국방군사시설사업	
	국방부	
	국방일보	
	국번	
	국비	
	국비연수	
	국비유학	
	국비환자	
	국사	
	국산품매장	
	국선	
	국선변호인	
	국선접속설비	
	국세	
	국세기본법	
	국세발간	
	국세심판원	
	국세징수법	
	국세청	
	국세환급금	
	국세훈령	
	국악원	
	국어	
	국어능력	
	국영	
	국영무역	
	국외	
	국외반출입규제대상생물	
	국외범	
	국외부실자산	
	국외이송	
	국외정보	
	국외지배주주	
	국유	
	국유림	
	국유림경영	
	국유림관리	
	국유재산	
	국유지	
	국유품종보호권	
	국장	
	국적	
	국정	
	국정감사	
	국정관세	
	국정홍보처	
	국제	
	국제개발협회	
	국제거래	
	국제공동연구사업	
	국제공무원	
	국제규제물자	
	국제기구	
	국제기금	
	국제기금협약	
	국제기준	
	국제단위계	
	국제도로운송	
	국제도로운송증서	
	국제도산관리인	
	국제마약통제위원회	
	국제무역규칙	
	국제무역의중심지	
	국제복합운송	
	국제부흥개발은행	
	국제사찰	
	국제선박	
	국제수형자이송	
	국제연합	
	국제연합교육과학문화기구	
	국제입찰	
	국제자유도시	
	국제적	
	국제조세경쟁	
	국제측정표준	
	국제통화	
	국제특급우편	
	국제특별해역	
	국제표준	
	국제표준화기구	
	국제항공운송협회	
	국제항해	
	국제해사기구	
	국제행사	
	국제행사참가자	
	국제협력업무	
	국제협력요원	
	국제협력의사	
	국제화	
	국제화계획지구	
	국제회의	
	국제회의도시	
	국제회의산업	
	국제회의산업육성기반	
	국제회의시설	
	국제회의전담조직	
	국채	
	국책사업	
	국토	
	국회	
	군	
	군납품	
	군대	
	군립공원	
	군번	
	군법무관	
	군별	
	군복	
	군부	
	군비	
	군사	
	군사기밀	
	군사기밀공개	
	군사기밀제공설명	
	군사시설	
	군사시설보호구역	
	군세	
	군수	
	군수용마약류	
	군수품	
	군용기	
	군용선	
	군용장구	
	군위탁생	
	군유지	
	군의문사	
	군인	
	군장	
	군장학생	
	군종	
	군첩보부대	
	군청	
	군축	
	군항	
	굴곡	
	굴뚝	
	굴삭기	
	굴절	
	굴착	
	궁	
	궁도장	
	궁중	
	권	
	권계면	
	권고	
	권고안	
	권리	
	권리관리정보	
	권리금	
	권리설정	
	권리자	
	권리주	
	권리질	
	권리취득	
	권양기	
	권역	
	권유	
	권유자	
	권익	
	권장	
	권종	
	권한	
	권한자	
	궐석	
	궐위	
	궤간	
	궤도	
	궤적	
	귀가	
	귀감	
	귀국	
	귀금속	
	귀빈	
	귀빈실	
	귀선	
	귀소	
	귀속	
	귀속시설	
	귀순	
	귀책	
	귀책사유	
	귀화	
	귀환	
	귀휴	
	규격	
	규격전력	
	규명	
	규모	
	규범	
	규약	
	규율	
	규정	
	규제	
	규제대상품목	
	규제병해충	
	규제영향분석	
	규제특례	
	규칙	
	균	
	균등	
	균분상속	
	균열	
	균일	
	균형	
	균형성과평가제도	
	그네	
	그늘	
	그래프	
	그룹	
	그룹별	
	그룹웨어	
	그리드	
	그린벨트	
	그림	
	극	
	극궤도	
	극궤도위성	
	극복	
	극성	
	극장	
	극지	
	극초단파	
	극초단파대역	
	극한작업로봇	
	근거	
	근골격계질환	
	근대	
	근대사	
	근로	
	근로계약	
	근로소득	
	근로소득보전세제	
	근로소득세	
	근로자	
	근로자공급사업	
	근로자대표	
	근로자파견	
	근로자파견계약	
	근로자파견사업	
	근로조건	
	근린	
	근면	
	근무	
	근무자	
	근무작업	
	근무처	
	근속	
	근원	
	근육	
	근저당	
	근적외채널	
	근절	
	근청	
	근친혼	
	근태	
	글	
	글꼴	
	글로벌	
	글쓴이	
	글자체	
	금	
	금감원	
	금결원	
	금계	
	금고	
	금기	
	금년	
	금리	
	금리선물	
	금속	
	금속류	
	금수품	
	금액	
	금연	
	금요일	
	금월	
	금융	
	금융감독기관	
	금융감독원	
	금융감독위원회	
	금융거래	
	금융거래조사	
	금융결제	
	금융결제원	
	금융관련법령	
	금융기관	
	금융보험업	
	금융업	
	금융자금대출금	
	금융자산	
	금융정보분석기구	
	금융지주회사	
	금일	
	금전	
	금전배상	
	금전채권	
	금주	
	금지	
	금지유해물질	
	금치산	
	금치산자	
	금칙	
	금탑산업훈장	
	금품	
	금형	
	금후	
	급감	
	급변	
	급부	
	급부불능	
	급성	
	급수	
	급수	
	급수장	
	급수장치	
	급식	
	급식경비	
	급식학교	
	급양	
	급여	
	급유	
	급전선	
	급증	
	급행	
	긍정	
	기가	
	기각	
	기간	
	기간내	
	기강	
	기계	
	기계식	
	기계식주차장	
	기계식주차장치	
	기계식주차장치보수업	
	기고	
	기관	
	기관	
	기관번호	
	기관별지휘소	
	기관서식	
	기관인사관리시스템	
	기관장	
	기관평가	
	기구	
	기구	
	기권방지	
	기금	
	기금관리위원회	
	기기	
	기내	
	기념	
	기념비	
	기념일	
	기념품	
	기능	
	기능	
	기능경기대회	
	기능대학	
	기능별	
	기능별분류체계	
	기능분류체계	
	기능성	
	기능성화장품	
	기능유형	
	기능인	
	기능장	
	기능점수	
	기능직	
	기대	
	기도	
	기동	
	기둥	
	기량	
	기록	
	기록물	
	기록물관리	
	기록물관리기관	
	기록물관리기관장	
	기록물철	
	기록번호	
	기록자	
	기르는어업	
	기름	
	기름여과장치	
	기름탱커	
	기만	
	기말	
	기말재고	
	기명	
	기명날인	
	기명사채	
	기명주식	
	기물	
	기밀	
	기반	
	기반시설	
	기반시설부담계획	
	기반시설부담구역	
	기법	
	기보	
	기본	
	기본금	
	기본급	
	기본모델	
	기본법령	
	기본복지점수	
	기본설계입찰	
	기본수로조사	
	기본어음	
	기본영상	
	기본재산	
	기본측량	
	기본키	
	기본표면	
	기본항목	
	기부	
	기부금	
	기부금품	
	기부금품모집	
	기부자	
	기분	
	기사	
	기산	
	기산일	
	기상	
	기상개황	
	기상시설	
	기상업무	
	기상위성	
	기상청	
	기상측기	
	기상현상	
	기생충	
	기생충질환	
	기선	
	기성	
	기세	
	기소유예	
	기소중지	
	기수	
	기숙사	
	기술	
	기술개발	
	기술기반조성	
	기술담보제도	
	기술도입계약	
	기술도입생산	
	기술문서	
	기술사	
	기술시장	
	기술신용보증	
	기술아키텍처	
	기술이전	
	기술인	
	기술자	
	기술자격	
	기술평가	
	기술혁신	
	기아	
	기안	
	기안자	
	기압	
	기압계	
	기억	
	기억장치	
	기업	
	기업구조조정투자회사	
	기업도시	
	기업도시개발구역	
	기업도시개발사업	
	기업정체성	
	기업지원단일창구	
	기업집단	
	기업체	
	기업체재산	
	기업활동	
	기여	
	기여금	
	기예	
	기온	
	기와	
	기용품	
	기원	
	기율	
	기일	
	기입	
	기입등기	
	기자	
	기자재	
	기장	
	기재	
	기적	
	기전	
	기점	
	기정	
	기정예산	
	기조	
	기존	
	기존규제	
	기존서식	
	기주	
	기주범위	
	기준	
	기준가	
	기준가격	
	기준고용률	
	기준금리	
	기준금액	
	기준년	
	기준수량	
	기준월	
	기준율	
	기준일	
	기준점	
	기준주파수	
	기준흘수선	
	기증	
	기지	
	기지보호구역	
	기질	
	기차	
	기채	
	기초	
	기초과학연구	
	기초생활수급권자	
	기초원재료납세증명서	
	기초자료	
	기타	
	기타건수	
	기타금액	
	기타세탁물	
	기타장치	
	기탁	
	기탁금	
	기탁반송	
	기통수	
	기폭제	
	기표	
	기피	
	기한	
	기한부	
	기한부어음	
	기한이익	
	기한후배서	
	기호	
	기혼	
	기회	
	기획	
	기획심사	
	기획여행	
	기획예산처	
	기획자	
	기후	
	기후생태계변화유발물질	
	긴급	
	긴급공매	
	긴급관세	
	긴급구조	
	긴급구조관련기관	
	긴급구조기관	
	긴급구조지원기관	
	긴급수리용품	
	긴급자동차	
	긴급조정	
	긴급체포	
	긴급통관	
	긴급피난	
	긴밀	
	긴요	
	긴장	
	길	
	길가	
	길가장자리구역	
	길이	
	깊이	
	까르네담당자	
	까르네통관	
	까지	
	꼭짓점	
	꾸러미	
	꿀벌	
	끓는점	
	끝	
	나노	
	나노기술	
	나노튜브	
	나눗셈	
	나라	
	나머지	
	나무	
	나사	
	나열	
	나용선	
	나용선계약	
	나이	
	나이스	
	나지	
	낙농	
	낙뢰	
	낙차공	
	낙찰	
	낙찰자	
	낙후	
	낙후지역	
	낚시어선	
	낚시어선업	
	낚시어선업자	
	낚시터	
	난간	
	난대	
	난로	
	난민	
	난방	
	난시	
	난연재료	
	난이도	
	난지	
	난치성	
	난치성결핵환자	
	날	
	날개	
	날씨	
	날인	
	날자	
	날짜	
	날짜	
	날짜일자	
	남극광물자원	
	남극조약협의당사국	
	남극조약협의당사국회의	
	남극지역	
	남극토착동식물	
	남극환경	
	남극활동	
	남극활동감시원	
	남남갈등	
	남녀	
	남벌	
	남부	
	남북	
	남북교역물품	
	남북한	
	남북한횡단철도	
	남북행사비교	
	남북회담	
	남산	
	남성	
	남용	
	남자	
	남쪽	
	남측	
	남측인물	
	남측인물경력	
	남편	
	남한	
	납골	
	납골당	
	납골묘	
	납골시설	
	납골탑	
	납기	
	납기전	
	납기후	
	납본	
	납부	
	납부금액	
	납부방법	
	납부세액	
	납부일	
	납부자	
	납부처	
	납부최고	
	납북자	
	납세	
	납세고지	
	납세고지서	
	납세담보	
	납세독촉	
	납세보증보험	
	납세신고	
	납세심사	
	납세심사과	
	납세의무자	
	납세자	
	납세조합	
	납세증명제도	
	납세지	
	납입	
	납입가장	
	납입금액	
	납입일	
	납입자	
	납입처	
	납품	
	납품업체	
	낭비	
	낮	
	내	
	내과	
	내관	
	내구	
	내구성	
	내국	
	내국기업	
	내국물품	
	내국물품확인	
	내국법인	
	내국세	
	내국운송	
	내국운송신고	
	내국인	
	내국인면세점	
	내국작업	
	내국지급수단	
	내국통화	
	내국환	
	내금	
	내려받기	
	내륙지역	
	내륙컨테이너기지	
	내복	
	내부	
	내사	
	내선	
	내수면	
	내수면어업	
	내수재료	
	내역	
	내역서	
	내외	
	내용	
	내용년수	
	내용유형	
	내일	
	내장	
	내장용기	
	내진	
	내진설계	
	내피	
	내항기	
	내항선	
	내항운송	
	내화구조	
	냄새	
	냉각	
	냉각수	
	냉각재	
	냉난방	
	냉동	
	냉동공조기기	
	냉동기	
	냉매	
	냉방	
	냉조풍지대	
	너비	
	널	
	넓이	
	넘버	
	네트워크	
	네트웍	
	년	
	년간	
	년도	
	년말	
	년수	
	년월	
	년월일	
	년제	
	년중	
	노거수	
	노견	
	노동	
	노동부	
	노동쟁의	
	노동조합	
	노드	
	노랑	
	노래방	
	노래연습장업	
	노력	
	노면	
	노무	
	노무관리	
	노사	
	노사관계	
	노사분규	
	노사협의회	
	노상시설	
	노상주차장	
	노선	
	노선업종	
	노숙인	
	노숙자	
	노약자	
	노유자	
	노인	
	노인복지	
	노인정	
	노인학대	
	노정	
	노조	
	노조원	
	노출	
	노트	
	노트북	
	노후	
	노후	
	녹	
	녹는점	
	녹색	
	녹음	
	녹조	
	녹지	
	녹지대	
	녹취	
	녹화	
	논	
	논농업	
	논리	
	논리적	
	논리파일	
	논문	
	논의	
	논조	
	논평	
	놀이	
	농가	
	농경	
	농경지	
	농공단지	
	농구	
	농구장	
	농기계	
	농기구	
	농도	
	농림	
	농림부	
	농림수산	
	농림수산검역검사본부	
	농림수산물	
	농림어업	
	농무	
	농민	
	농산	
	농산물	
	농산물이력추적관리	
	농산식품	
	농수산물	
	농수산물공판장	
	농수산물도매시장	
	농약	
	농어민	
	농어촌	
	농어촌관광휴양사업	
	농어촌생활환경정비사업	
	농어촌용수	
	농어촌주민	
	농어촌주택	
	농어촌특별세	
	농어촌특별세법	
	농업	
	농업경영	
	농업경영체	
	농업기계	
	농업기계화사업	
	농업기반시설	
	농업기반시설관리권	
	농업법인	
	농업생산기반시설	
	농업생산기반정비사업	
	농업소득	
	농업소득세할	
	농업용시설	
	농업유전자원	
	농업인	
	농업재해	
	농업총조사	
	농외소득	
	농외소득원	
	농작물	
	농작업	
	농정	
	농지	
	농지전용	
	농촌	
	농촌진흥청	
	농축산물	
	농특세	
	높이	
	뇌공학	
	뇌과학	
	뇌물	
	뇌사자	
	뇌성마비	
	뇌신경	
	뇌연구	
	뇌염	
	뇌의약학	
	뇌졸중	
	누가	
	누계	
	누년	
	누락	
	누범	
	누설	
	누수	
	누에	
	누에고치	
	누적	
	누적액	
	누전	
	누진처우	
	누출	
	눈	
	눈동자	
	뉴미디어	
	뉴스	
	뉴스통신	
	뉴스통신사업	
	뉴스통신사업자	
	느릅나무	
	느티나무	
	능	
	능력	
	능률	
	니켈	
	니트	
	니트로글리세린	
	니트로글리콜	
	닉네임	
	다가구주택	
	다계층분산시스템	
	다국적기업	
	다기능	
	다단	
	다단계판매	
	다단계판매자	
	다량	
	다리	
	다면평가	
	다목적	
	다목적댐	
	다세대주택	
	다수	
	다수공급자계약	
	다수확	
	다습	
	다실	
	다양성	
	다운로드	
	다운사이징	
	다운스트림	
	다원적	
	다음	
	다이옥신	
	다인승	
	다자	
	다자간	
	다자녀	
	다중	
	다중이용시설	
	다층	
	다형성	
	단	
	단가	
	단결권	
	단계	
	단기	
	단기금융업무	
	단기급여	
	단기시효	
	단기임대차	
	단독	
	단독정화조	
	단독주주권	
	단독주택	
	단련	
	단말	
	단말기	
	단말기기	
	단말기기고유번호	
	단말장치	
	단면	
	단면도	
	단문	
	단방향	
	단백체	
	단서	
	단선	
	단속	
	단속자	
	단수검사	
	단순	
	단순승인	
	단시간작업	
	단식	
	단어	
	단열재	
	단위	
	단위공사	
	단위공정	
	단위과제	
	단위과제풀	
	단위비용	
	단위소요량	
	단위실량	
	단위투표금액	
	단음	
	단일	
	단일고장	
	단일관세	
	단일용기	
	단일유기화학물질	
	단일화	
	단자	
	단자판	
	단자함	
	단절	
	단조	
	단주	
	단지	
	단체	
	단체가입	
	단체교섭권	
	단체표장	
	단체행동권	
	단축	
	단파	
	단파방송	
	단파적외채널	
	단풍나무	
	단합대회	
	달	
	달러	
	달력	
	달성	
	달성도	
	닭	
	닭고기	
	담당	
	담당관	
	담당자	
	담배	
	담배소비세	
	담보	
	담보가격	
	담보가등기	
	담보계약	
	담보금액	
	담보물권	
	담보부사채	
	담보제공	
	담보제공의면제	
	담보제공의생략	
	담보책임	
	담합행위	
	담화문	
	답	
	답글	
	답변	
	답변자	
	답안	
	답장	
	당	
	당구장	
	당국	
	당기	
	당년	
	당뇨	
	당면	
	당비	
	당사국	
	당사자	
	당사자적격	
	당선	
	당시	
	당연상인	
	당연직	
	당원	
	당월	
	당일	
	당정	
	당좌	
	당직	
	당직간부	
	당직실	
	당첨	
	당첨금	
	당첨자	
	당초	
	당해	
	대	
	대가	
	대가변제	
	대간첩작전	
	대간첩작전보상대책지원금	
	대강	
	대구	
	대구광역시	
	대구광역시남구	
	대구광역시달서구	
	대구광역시달성군	
	대구광역시동구	
	대구광역시북구	
	대구광역시서구	
	대구광역시수성구	
	대구광역시중구	
	대규모	
	대규모개발사업	
	대규모기업집단	
	대규모점포	
	대그룹	
	대금	
	대금결제방법	
	대기	
	대기관리권역	
	대기기간	
	대기능	
	대기업	
	대기업자	
	대기오염	
	대기오염물질	
	대기오염물질배출시설	
	대기오염방지시설	
	대기중	
	대기차선	
	대기환경보전법	
	대납	
	대납자	
	대내	
	대내외	
	대대	
	대도시	
	대도시권	
	대등	
	대량	
	대량거래	
	대류	
	대륙	
	대륙간	
	대륙붕	
	대륙철도	
	대리	
	대리권	
	대리상	
	대리수속	
	대리인	
	대리점	
	대마	
	대마초	
	대물	
	대물대차	
	대물변제	
	대미	
	대민	
	대법관	
	대법원	
	대법원장	
	대변	
	대변기	
	대변표	
	대별	
	대부	
	대부금	
	대부업	
	대북반출입물품	
	대분류	
	대비	
	대비	
	대사	
	대사	
	대사	
	대사관물품	
	대사성	
	대상	
	대상건수	
	대상금액	
	대상물건	
	대상사업장	
	대상선박	
	대상업체	
	대상자	
	대상청구권	
	대소사	
	대손	
	대손상각	
	대수	
	대습상속	
	대시	
	대안	
	대여	
	대여금	
	대여료	
	대여업	
	대여자	
	대역	
	대외	
	대외경제협력기금	
	대외무역법	
	대외지급수단	
	대용	
	대원	
	대원수	
	대월	
	대위	
	대위변제	
	대유형	
	대응	
	대의원	
	대인	
	대인담보	
	대장	
	대장구분	
	대장암	
	대장정보	
	대적	
	대전	
	대전광역시	
	대전광역시대덕구	
	대전광역시동구	
	대전광역시서구	
	대전광역시유성구	
	대전광역시중구	
	대절	
	대조	
	대졸	
	대주	
	대주주	
	대중	
	대중교통	
	대중교통수단	
	대중교통시설	
	대중교통운영자	
	대중매체	
	대중음악	
	대중화	
	대지	
	대지급	
	대집행	
	대차	
	대차대조표	
	대책	
	대처	
	대체	
	대체	
	대체가능물품	
	대체물품	
	대체집행	
	대출	
	대출금	
	대출자	
	대치	
	대칭	
	대테러계획	
	대통령	
	대통령경호실	
	대통령당선인	
	대통령령	
	대통령비서실	
	대통령직	
	대표	
	대표기록번호	
	대표기준	
	대표단	
	대표당사자	
	대표소송	
	대표이사	
	대표자	
	대피	
	대피로	
	대학	
	대학교	
	대학도서관	
	대학원	
	대한무역투자진흥공사	
	대한민국	
	대한민국국민	
	대한민국법인	
	대한민국선박	
	대한상사중재원	
	대한적십자사	
	대항조치	
	대행	
	대행감사	
	대행감사위탁감사	
	대행검사기관	
	대형	
	대형공사	
	대형금속용기	
	대형용기	
	대형주	
	대화	
	대회	
	댐	
	댐관리자	
	댐사용권	
	댓글	
	더미테이블	
	덕망	
	덕트	
	덤프	
	덤핑	
	덤핑방지관세	
	덤핑차액	
	덮개	
	데드링크	
	데몬	
	데시벨	
	데이타	
	데이터	
	데이터그램	
	데이터링크	
	데이터마트	
	데이터방송	
	데이터베이스	
	데이터아키텍처	
	데이터웨어하우스	
	데이터통신	
	데포	
	델타	
	도	
	도검	
	도곽선	
	도구	
	도금	
	도급	
	도난	
	도난분실물품	
	도내	
	도달	
	도래	
	도로	
	도로관리청	
	도로구간	
	도로기종점	
	도로망체계	
	도로명	
	도로명기본도	
	도로명사업	
	도로명시설	
	도로명주소	
	도로명주소데이터베이스	
	도로명주소통합센터	
	도로부속물	
	도로운송차량	
	도립공원	
	도매	
	도매배송서비스	
	도매시장법인	
	도매업자	
	도매인	
	도메인	
	도메인이름	
	도면	
	도면류	
	도박	
	도발	
	도보	
	도산	
	도상	
	도서	
	도서관	
	도서관자료	
	도서벽지	
	도선	
	도선사	
	도선사업	
	도선수습생	
	도선업	
	도선장	
	도소매업서비스업총조사	
	도수	
	도시	
	도시가스사업	
	도시가스사업자	
	도시개발구역	
	도시개발사업	
	도시계획	
	도시계획사업	
	도시계획세	
	도시계획시설	
	도시계획시설사업	
	도시공원	
	도시관리계획	
	도시교통권역	
	도시기본계획	
	도시녹화	
	도시자연공원구역	
	도시지역	
	도시철도	
	도시철도시설	
	도식	
	도안	
	도엽	
	도예	
	도용	
	도움	
	도움말	
	도유지	
	도입	
	도장	
	도주	
	도착	
	도착보고	
	도착예정지세관	
	도착지	
	도체	
	도축	
	도축세	
	도출	
	도표	
	도형	
	독과점	
	독려	
	독림가	
	독립	
	독립공채	
	독립국가연합	
	독립채무	
	독서	
	독서실	
	독성	
	독성가스	
	독성화학물질	
	독소	
	독약	
	독점	
	독점계약서	
	독점수입권자	
	독촉	
	독촉고지	
	독촉장	
	독학	
	돌발	
	돌풍	
	동	
	동	
	동거	
	동경	
	동계	
	동기	
	동기식전송망	
	동기화	
	동남아	
	동남아국가연합	
	동력	
	동력선	
	동력수상레저기구	
	동력어선	
	동료	
	동리	
	동면	
	동물	
	동물병원	
	동물원	
	동물진료업	
	동반	
	동반가족	
	동반자	
	동보통신	
	동부	
	동북아	
	동사무소	
	동산	
	동산물권	
	동산질	
	동상	
	동석	
	동승자	
	동시	
	동시전송	
	동식물	
	동안	
	동업	
	동영상	
	동원	
	동원계획	
	동위원소	
	동의	
	동의서	
	동의어	
	동일	
	동일인	
	동작	
	동적	
	동적해석법	
	동전	
	동종동질물품	
	동쪽	
	동태	
	동파	
	동해선	
	동행	
	동행인	
	동향	
	동호회	
	돼지	
	돼지고기	
	돼지콜레라	
	두께	
	두뇌한국21	
	두발	
	두절	
	두창	
	둔치	
	둘레	
	뒤	
	드라이버	
	드라이컨테이너	
	득점	
	득표	
	듣기	
	등	
	등고선	
	등급	
	등기	
	등기부	
	등기소	
	등기용지	
	등기원인서면	
	등기필증	
	등락	
	등락율	
	등록	
	등록건수	
	등록관청	
	등록사업자	
	등록상표	
	등록세	
	등록순서	
	등록실용신안	
	등록업체	
	등록일	
	등록자	
	등록자명	
	등록증	
	등록증명서	
	등본	
	등산	
	등산로	
	등압면	
	등위	
	등유	
	등재	
	디데이	
	디렉터리	
	디렉토리	
	디멘전	
	디멘젼	
	디바이스	
	디스크	
	디스플레이	
	디아제팜	
	디자인	
	디자인등록	
	디자인무심사등록	
	디자인심사등록	
	디지타이저	
	디지탈	
	디지털	
	디지털문화콘텐츠	
	디지털수치화	
	디지털저작권보호	
	디지털저작권보호권한	
	디지털저작권보호정책	
	디지털카메라	
	디지털콘텐츠	
	디지털포렌식	
	디지털화	
	디코더	
	디코딩	
	디폴트	
	디프테리아	
	또는	
	뚜껑	
	라니냐	
	라디오	
	라디오부이	
	라면	
	라벨	
	라우터	
	라우팅	
	라이닝	
	라인	
	란	
	래프팅	
	랙	
	랜	
	랜카드	
	램	
	랩퍼	
	량	
	러시아	
	레미콘	
	레벨	
	레벨조정기	
	레이더	
	레이드	
	레이어	
	레이저	
	레저	
	레저세	
	레지던트	
	레코드	
	레코드건수	
	레트로바이러스	
	레포트	
	렌더러	
	렌즈	
	렌터카	
	로고	
	로그	
	로그아웃	
	로그인	
	로긴	
	로드맵	
	로드밸런스	
	로봇	
	로우	
	로컬	
	로프	
	롤다운기준	
	롤업기준	
	롱톤	
	료	
	루트	
	루틴	
	루프	
	루프백	
	루프장치	
	룰북	
	류	
	률	
	리	
	리그	
	리더	
	리모델링	
	리본	
	리소스	
	리스	
	리스산업	
	리스크	
	리스트	
	리콜	
	리터	
	리파지토리	
	리프레시	
	리플	
	릴레이	
	링	
	링크	
	마감	
	마감전	
	마감후	
	마그네슘	
	마당	
	마력	
	마련	
	마비	
	마스크	
	마스터	
	마스터선하증권	
	마스터플랜	
	마약	
	마약류	
	마약류범죄	
	마약류중독자	
	마약류취급자	
	마약밀매업자	
	마약밀수	
	마약범죄자	
	마약산출국	
	마약소비시장	
	마약조사요원	
	마우스	
	마을	
	마을하수도	
	마이너	
	마이크	
	마이크로필름	
	마일리지	
	마지막	
	마진	
	마취	
	마취총	
	마케팅	
	막차	
	만기	
	만기금액	
	만기상환	
	만기일	
	만기후	
	만료	
	만료일	
	만성병	
	만성전염병	
	만성질환	
	만수	
	만재흘수선	
	만점	
	만족	
	만족도	
	만족도확인전화	
	만찬	
	만찬참석자	
	만화	
	말라리아	
	말목	
	말소	
	말소등기	
	말일	
	말초신경계	
	맑음	
	맛	
	망	
	망간	
	망태	
	망향의동산	
	맞춤	
	맞춤형서비스	
	매각	
	매각자	
	매개	
	매년	
	매뉴얼	
	매니저	
	매니져	
	매도	
	매도금액	
	매도수량	
	매도자	
	매도증서	
	매립	
	매립지	
	매매	
	매몰	
	매석	
	매설	
	매설지선	
	매수	
	매수	
	매수인	
	매수자	
	매수청구권	
	매수합병	
	매스미디어	
	매약서	
	매연	
	매월	
	매일	
	매입	
	매입상환	
	매입임대주택	
	매입환	
	매장	
	매장	
	매점	
	매체	
	매체형태	
	매출	
	매출금액	
	매칭	
	매트릭스	
	매표소	
	매핑	
	매회	
	맥류	
	맥박	
	맨홀	
	맵	
	맹인	
	맺음말	
	머리	
	머리말	
	먹는물	
	먹는물공동시설	
	먹는물관련영업	
	먹는샘물	
	먼지	
	멀티미디어	
	멀티미디어문화콘텐츠설비제공업	
	멀티미디어콘텐츠	
	멀티캐스트	
	메가폰	
	메뉴	
	메모	
	메모리	
	메세지	
	메스암페타민	
	메시지	
	메신저	
	메이저	
	메인	
	메인메뉴	
	메인프레임	
	메일	
	메타	
	메타데이터	
	메타세쿼이아	
	메타콸론	
	메탄	
	메트릭톤	
	멤버	
	멤버스카드	
	멤버십	
	면	
	면담	
	면세	
	면세기관	
	면세대상자	
	면세범위초과물품	
	면세상품인도장	
	면세점	
	면세제도	
	면세통관의뢰서	
	면세통로검사대	
	면세허용범위	
	면수	
	면역	
	면적	
	면접	
	면제	
	면제자	
	면직	
	면책위험	
	면허	
	면허세	
	면허증	
	멸각	
	멸실	
	멸종	
	멸종위기야생동식물	
	멸종위기종	
	명	
	명령	
	명령서	
	명령어	
	명문	
	명부	
	명세	
	명세서	
	명승	
	명시	
	명시이월	
	명예	
	명예교수	
	명예퇴직	
	명예훼손	
	명의	
	명의개서	
	명의변경	
	명의수탁자	
	명의신탁	
	명의신탁약정	
	명의인	
	명의자	
	명일	
	명장	
	명절	
	명찰	
	명치	
	명칭	
	명패	
	명함	
	모	
	모국	
	모금	
	모기	
	모니터	
	모니터	
	모니터링	
	모델	
	모델	
	모뎀	
	모듈	
	모드	
	모래	
	모멘트	
	모바일	
	모바일서비스시스템	
	모범	
	모병	
	모부자가정	
	모부자가족	
	모부자복지단체	
	모색	
	모선	
	모선사	
	모선식어업	
	모성보호	
	모순	
	모양	
	모유	
	모의	
	모임	
	모자	
	모자보건사업	
	모자보건요원	
	모자이크	
	모조	
	모조품	
	모집	
	모집설립	
	모집인수	
	모집종사자	
	모포	
	모험대차	
	모형	
	목	
	목격자	
	목구조	
	목구조기술자	
	목련	
	목록	
	목록통관특송물품	
	목요일	
	목욕	
	목욕장업	
	목용탕	
	목장	
	목재	
	목적	
	목적국	
	목적별	
	목적별분류체계	
	목적세	
	목적어	
	목적지	
	목적항	
	목조	
	목차	
	목차경로	
	목초	
	목표	
	목표가격	
	목표관리	
	목표관리제도	
	목표원가	
	목표이익	
	몰수	
	몰수품	
	몸무게	
	몸체	
	묘	
	묘목	
	묘비	
	묘소	
	묘역	
	묘지	
	무	
	무게	
	무결성	
	무고죄	
	무공	
	무공포장	
	무공해	
	무공훈장	
	무과실책임	
	무관후보생	
	무궁화	
	무궁화대훈장	
	무권대리	
	무급	
	무기	
	무기명사채	
	무기명주권	
	무기명증권	
	무기명채권	
	무기체계채택물자	
	무능력자	
	무단	
	무단양도	
	무담보	
	무담보사채	
	무대	
	무대예술	
	무대장치	
	무도	
	무도장	
	무력화	
	무료	
	무료직업소개사업	
	무명	
	무배당	
	무보수	
	무사	
	무사고선하증권	
	무상	
	무상계약	
	무상양여	
	무상주	
	무상증자	
	무선	
	무선국	
	무선랜	
	무선방향탐지	
	무선설비	
	무선종사자	
	무선통신	
	무선항행	
	무시	
	무엇을	
	무역	
	무역거래기반	
	무역거래기반시설	
	무역거래기반조성	
	무역거래자	
	무역선	
	무역업자	
	무역유관기관	
	무역자동화	
	무역자동화사업	
	무역전시산업	
	무역전시회	
	무연탄	
	무이자	
	무인	
	무임승차	
	무자력	
	무작위	
	무장간첩	
	무적자	
	무전	
	무점포	
